               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.031252,            0.011491,           0.0014466,             0.49037,             0.76019,              0.4639,             0.28647,            0.023571,            0.013137,           0.0012324,            0.008185,            0.008185,            0.008185
                  57,            0.031016,            0.011595,           0.0013844,             0.49079,             0.80234,             0.48759,             0.29423,            0.021725,            0.013065,           0.0012528,            0.008152,            0.008152,            0.008152
                  58,            0.029575,            0.011138,           0.0014038,             0.48557,              0.7862,             0.47215,             0.28218,            0.022528,            0.013033,           0.0012406,            0.008119,            0.008119,            0.008119
                  59,            0.030422,            0.011247,           0.0015279,             0.49955,             0.71339,             0.46888,             0.28118,             0.02376,            0.013116,           0.0011899,            0.008086,            0.008086,            0.008086
                  60,            0.030684,            0.011275,           0.0013863,             0.49207,             0.76706,             0.48106,             0.28569,            0.022783,            0.013078,           0.0012029,            0.008053,            0.008053,            0.008053
                  61,            0.030163,             0.01106,           0.0015184,             0.48586,             0.77457,             0.47808,             0.28906,            0.024359,            0.013188,           0.0011768,             0.00802,             0.00802,             0.00802
                  62,            0.030088,            0.011179,           0.0013175,             0.50576,             0.73817,             0.47106,             0.28945,            0.023883,            0.013049,           0.0012209,            0.007987,            0.007987,            0.007987
                  63,            0.030007,            0.011145,           0.0013504,             0.50211,             0.73901,             0.47759,             0.29379,             0.02222,            0.012966,           0.0012894,            0.007954,            0.007954,            0.007954
                  64,            0.030438,            0.011095,            0.001314,             0.48356,             0.79976,             0.47437,             0.28928,            0.022614,            0.013002,             0.00122,            0.007921,            0.007921,            0.007921
                  65,            0.029966,            0.011494,            0.001387,             0.48815,             0.80088,             0.48508,             0.29033,              0.0233,            0.013041,           0.0011994,            0.007888,            0.007888,            0.007888
                  66,            0.030148,            0.011224,           0.0013976,             0.48699,             0.76099,             0.46143,             0.28062,            0.023438,            0.013248,           0.0012422,            0.007855,            0.007855,            0.007855
                  67,            0.030048,            0.011329,           0.0013078,             0.48638,             0.79294,             0.47158,             0.28308,            0.022635,            0.013179,           0.0011717,            0.007822,            0.007822,            0.007822
                  68,            0.029717,            0.011247,           0.0013185,             0.49364,             0.76079,             0.47092,                0.29,            0.021678,            0.013043,           0.0011677,            0.007789,            0.007789,            0.007789
                  69,            0.029222,            0.011367,           0.0012938,             0.48012,             0.81489,             0.47508,             0.28675,            0.021527,            0.013141,           0.0011576,            0.007756,            0.007756,            0.007756
                  70,            0.029185,            0.011279,           0.0013456,             0.50644,             0.79168,             0.48379,             0.30175,            0.021184,            0.013046,           0.0011214,            0.007723,            0.007723,            0.007723
                  71,            0.029053,            0.011323,           0.0012761,             0.48998,             0.82627,              0.4855,              0.3042,            0.021414,            0.013197,           0.0012091,             0.00769,             0.00769,             0.00769
                  72,            0.029112,            0.010984,           0.0012558,             0.48926,             0.79046,             0.47977,             0.28397,            0.022221,               0.013,           0.0012268,            0.007657,            0.007657,            0.007657
                  73,             0.02829,            0.010575,           0.0013171,              0.4921,             0.78559,             0.47372,             0.28949,            0.021527,            0.013006,           0.0011143,            0.007624,            0.007624,            0.007624
